"","zip","city","state","latitude","longitude"
"348","01245","Monterey","MA",42.180659,-73.20849
"349","01247","North Adams","MA",42.696064,-73.10145
"350","01252","North Egremont","MA",42.198648,-73.446234
"351","01253","Otis","MA",42.198403,-73.10205
"352","01254","Richmond","MA",42.374711,-73.36336
"353","01255","Sandisfield","MA",42.088973,-73.12444
"354","01256","Savoy","MA",42.592506,-73.01123
"355","01257","Sheffield","MA",42.102694,-73.36591
"356","01258","South Egremont","MA",42.103122,-73.45734
"357","01259","Southfield","MA",42.0645,-73.24674
"358","01260","South Lee","MA",42.286586,-73.313274
"359","01262","Stockbridge","MA",42.283216,-73.31423
"360","01263","Stockbridge","MA",42.3929,-73.228483
"361","01264","Tyringham","MA",42.224905,-73.20394
"362","01266","West Stockbridge","MA",42.328535,-73.36407
"363","01267","Williamstown","MA",42.689962,-73.22355
"364","01270","Windsor","MA",42.443726,-73.116127
"365","01301","Greenfield","MA",42.605524,-72.60098
"366","01302","Greenfield","MA",42.522178,-72.624164
"367","01330","Ashfield","MA",42.521131,-72.81116
"368","01331","Athol","MA",42.579931,-72.20836
"369","01337","Bernardston","MA",42.678023,-72.55569
"370","01338","Buckland","MA",42.569498,-72.802
"371","01339","Charlemont","MA",42.626858,-72.87939
"372","01340","Colrain","MA",42.673371,-72.73104
"373","01341","Conway","MA",42.508313,-72.70403
"374","01342","Deerfield","MA",42.542322,-72.6091
"375","01343","Drury","MA",42.642666,-72.986231
"376","01344","Erving","MA",42.607051,-72.41396
"377","01346","Heath","MA",42.669255,-72.80494
"378","01347","Lake Pleasant","MA",42.556558,-72.518104
"379","01349","Turners Falls","MA",42.5737,-72.50525
"380","01350","Monroe Bridge","MA",42.712257,-72.97629
"381","01351","Montague","MA",42.534976,-72.52522
"382","01354","Northfield","MA",42.522178,-72.624164
"383","01355","New Salem","MA",42.485899,-72.33345
"384","01360","Northfield","MA",42.682285,-72.45649
"385","01364","Orange","MA",42.599614,-72.29263
"386","01366","Petersham","MA",42.474718,-72.21226
"387","01367","Rowe","MA",42.694883,-72.90962
"388","01368","Royalston","MA",42.671012,-72.16999
"389","01369","Shattuckville","MA",42.522178,-72.624164
"390","01370","Shelburne Falls","MA",42.603447,-72.72754
"391","01373","South Deerfield","MA",42.472734,-72.62452
"392","01374","Charlemont","MA",42.636459,-72.798742
"393","01375","Sunderland","MA",42.449978,-72.56302
"394","01376","Turners Falls","MA",42.609425,-72.54438
"395","01378","Warwick","MA",42.667152,-72.32729
"396","01379","Wendell","MA",42.547274,-72.41724
"397","01380","Wendell Depot","MA",42.594455,-72.36314
"398","01393","Whately","MA",42.459814,-72.593626
"399","01420","Fitchburg","MA",42.578689,-71.80338
"400","01427","Westborough","MA",42.286575,-71.585753
"401","01430","Ashburnham","MA",42.658768,-71.93287
"402","01431","Ashby","MA",42.672005,-71.8137
"403","01432","Ayer","MA",42.549821,-71.59136
"404","01434","Devens","MA",42.53,-71.61
"405","01436","Baldwinville","MA",42.608903,-72.08021
"406","01438","East Templeton","MA",42.563367,-72.03498
"407","01440","Gardner","MA",42.575355,-71.99183
"408","01441","Gardner","MA",42.364807,-71.896868
"409","01450","Groton","MA",42.609887,-71.55722
"410","01451","Harvard","MA",42.505928,-71.5888
"411","01452","Hubbardston","MA",42.477515,-71.99654
"412","01453","Leominster","MA",42.526523,-71.75358
"413","01460","Littleton","MA",42.540052,-71.49085
"414","01462","Lunenburg","MA",42.582839,-71.72051
